Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
твой_DET,0.42,0.0,15,0.0,big5_lex_повествование.tsv
понять_VERB,0.38,0.0,10,0.0,big5_lex_повествование.tsv
она_PRON,0.23,0.00018,26,0.45,big5_lex_описание.tsv
говорить_VERB,0.23,0.00088,13,2.14,big5_lex_повествование.tsv
что_PRON,0.23,0.00098,70,2.4,big5_lex_повествование.tsv
весь_DET,0.37,0.00156,13,3.81,big5_lex_рассуждение.tsv
на_ADP,0.34,0.00394,17,9.57,big5_lex_рассуждение.tsv
поступить_VERB,-0.19,0.00651,25,15.84,big5_lex_повествование.tsv
надеяться_VERB,0.19,0.00742,35,18.04,big5_lex_повествование.tsv
всё_PRON,-0.17,0.01266,18,30.79,big5_lex_повествование.tsv
о_ADP,0.17,0.01551,39,37.73,big5_lex_повествование.tsv
-_PRON,0.16,0.01922,10,46.74,big5_lex_повествование.tsv
привет_NOUN,-0.16,0.02003,26,48.71,big5_lex_повествование.tsv
в_ADP,-0.15,0.03457,122,84.08,big5_lex_повествование.tsv
на_ADP,0.14,0.04701,76,114.32,big5_lex_повествование.tsv
и_CCONJ,0.23,0.04727,22,114.96,big5_lex_рассуждение.tsv
месяц_NOUN,-0.14,0.04824,34,117.33,big5_lex_повествование.tsv
